time,type
00:00:00,простой
00:04:00,вынужденная
00:10:00,сварка
00:21:14,вынужденная
00:26:10,сварка
00:27:55,вынужденная
00:31:45,сварка
00:33:05,вынужденная
00:40:07,сварка
00:40:37,вынужденная
00:42:12,сварка
00:50:44,вынужденная
00:52:25,сварка
00:55:11,вынужденная
00:57:23,сварка
01:09:20,вынужденная
01:11:05,простой
01:13:10,вынужденная
01:14:26,сварка
01:22:51,вынужденная
01:25:15,сварка
01:26:10,вынужденная
01:30:17,сварка
01:34:06,вынужденная
01:36:04,сварка
01:37:36,вынужденная
01:39:15,сварка
01:40:41,вынужденная
01:48:59,сварка
02:04:01,вынужденная
02:09:30,простой
02:16:34,обед
02:36:56,вынужденная
02:38:47,сварка
02:41:45,вынужденная
02:43:01,сварка
02:50:53,вынужденная
02:55:10,простой
02:58:05,вынужденная
03:07:35,сварка
03:17:18,вынужденная
03:32:50,сварка
03:35:11,вынужденная
03:49:31,сварка
03:53:07,вынужденная
03:59:54,сварка
04:01:20,вынужденная
04:07:53,сварка
04:10:11,вынужденная
04:12:26,сварка
04:15:37,вынужденная
04:16:43,сварка
04:20:15,вынужденная
04:22:26,перерыв
04:40:39,простой
04:42:09,вынужденная
04:46:01,сварка
04:50:54,вынужденная
04:51:41,сварка
05:06:46,вынужденная
05:07:46,сварка
05:13:23,вынужденная
05:17:35,сварка
05:18:40,вынужденная
05:23:40,простой
05:30:01,вынужденная
05:56:01,простой
07:10:35,перерыв
07:31:01,простой
