time,type
00:00:00,вынужденная
00:05:00,простой
00:08:52,вынужденная
00:13:31,сварка
00:13:41,вынужденная
00:14:32,сварка
00:19:00,простой
00:21:15,сварка
00:29:15,простой
00:31:20,простой
00:37:10,вынужденная
00:41:45,простой
00:48:00,вынужденная
00:50:00,простой
01:16:15,сварка
01:19:10,простой
01:24:10,сварка
01:26:30,вынужденная
01:39:24,сварка
01:46:30,простой
02:01:00,сварка
02:04:25,простой
02:07:40,вынужденная
02:14:38,сварка
02:20:50,вынужденная
02:24:00,сварка
02:25:20,вынужденная
02:26:50,сварка
02:27:40,вынужденная
02:28:40,сварка
02:30:00,простой
02:30:50,вынужденная
02:32:35,сварка
02:40:00,вынужденная
02:44:20,простой
02:54:00,перерыв
03:24:00,простой
03:26:55,сварка
03:44:00,простой
03:45:30,вынужденная
03:48:15,простой
03:53:40,вынужденная
03:55:00,простой
04:00:00,сварка
04:22:00,простой
04:23:00,сварка
04:25:00,вынужденная
04:37:20,сварка
04:38:20,вынужденная
04:40:00,простой
04:43:40,сварка
