time,type
00:00:00,простой
00:07:00,вынужденная
00:09:38,сварка
00:22:00,вынужденная
00:24:13,сварка
00:27:20,простой
00:29:40,вынужденная
00:33:30,сварка
00:34:50,вынужденная
00:49:53,сварка
00:54:26,вынужденная
00:55:38,сварка
01:02:00,вынужденная
01:07:15,сварка
01:08:20,вынужденная
01:12:00,сварка
01:14:26,сварка
01:16:29,вынужденная
01:25:15,сварка
01:32:56,вынужденная
01:34:19,сварка
01:42:56,вынужденная
01:45:40,сварка
01:46:55,вынужденная
01:52:41,сварка
01:55:56,вынужденная
01:59:46,простой
02:16:34,обед
02:36:55,простой
02:42:45,сварка
03:02:31,вынужденная
03:05:51,сварка
03:17:50,простой
03:27:31,вынужденная
03:34:21,сварка
03:50:08,простой
03:52:11,сварка
04:03:04,простой
04:09:31,вынужденная
04:12:42,сварка
04:16:40,вынужденная
04:17:41,сварка
04:21:20,простой
04:22:26,перерыв
04:40:40,простой
04:48:24,вынужденная
04:52:06,сварка
04:59:15,вынужденная
05:01:24,сварка
05:07:09,вынужденная
05:10:59,сварка
05:14:09,вынужденная
05:15:15,простой
05:17:44,вынужденная
05:21:33,простой
05:31:35,вынужденная
05:41:35,сварка
05:41:57,вынужденная
06:09:30,сварка
06:09:55,вынужденная
06:17:20,простой
06:18:52,сварка
06:34:16,вынужденная
06:40:43,сварка
06:41:44,вынужденная
06:49:09,простой
06:56:14,вынужденная
07:00:20,сварка
07:02:53,вынужденная
07:06:35,простой
07:10:35,перерыв
07:31:01,сварка
07:32:57,вынужденная
07:34:31,сварка
07:38:25,вынужденная
07:40:25,сварка
07:43:21,вынужденная
07:50:26,сварка
07:56:10,простой
07:58:41,вынужденная
08:02:06,сварка
08:02:41,вынужденная
08:03:49,сварка
08:13:06,вынужденная
08:14:31,сварка
08:19:14,вынужденная
08:24:38,сварка
08:26:11,вынужденная
08:28:41,простой
08:31:10,вынужденная
08:48:53,простой
